index, start time, end time, latency (microsecond)
264, 1714494385.873811, 1714494385.893748, 19937
265, 1714494385.905315, 1714494385.923438, 18123
266, 1714494385.933827, 1714494385.952507, 18680
267, 1714494385.964113, 1714494385.983209, 19096
268, 1714494385.994792, 1714494386.17814, 23022
269, 1714494386.30063, 1714494386.50599, 20536
270, 1714494386.61167, 1714494386.79147, 17980
271, 1714494386.90916, 1714494386.112613, 21697
272, 1714494386.123341, 1714494386.139115, 15774
273, 1714494386.149370, 1714494386.173015, 23645
274, 1714494386.183643, 1714494386.200631, 16988
275, 1714494386.211508, 1714494386.230089, 18581
276, 1714494386.242787, 1714494386.265608, 22821
277, 1714494386.276740, 1714494386.291959, 15219
278, 1714494386.303790, 1714494386.320585, 16795
279, 1714494386.331699, 1714494386.350873, 19174
280, 1714494386.361243, 1714494386.378124, 16881
281, 1714494386.390746, 1714494386.410162, 19416
282, 1714494386.421134, 1714494386.438026, 16892
283, 1714494386.450177, 1714494386.468671, 18494
284, 1714494386.479078, 1714494386.497129, 18051
285, 1714494386.509043, 1714494386.532130, 23087
286, 1714494386.543403, 1714494386.561257, 17854
287, 1714494386.571872, 1714494386.591085, 19213
288, 1714494386.601780, 1714494386.621177, 19397
289, 1714494386.633288, 1714494386.650894, 17606
290, 1714494386.662971, 1714494386.681592, 18621
291, 1714494386.692913, 1714494386.712101, 19188
292, 1714494386.724461, 1714494386.744037, 19576
293, 1714494386.755373, 1714494386.772774, 17401
294, 1714494386.784264, 1714494386.812753, 28489
295, 1714494386.824578, 1714494386.845332, 20754
296, 1714494386.857211, 1714494386.875360, 18149
297, 1714494386.886685, 1714494386.906794, 20109
298, 1714494386.918172, 1714494386.945090, 26918
299, 1714494386.959535, 1714494387.60649, 101114
300, 1714494387.71341, 1714494387.92423, 21082
301, 1714494387.103359, 1714494387.124206, 20847
302, 1714494387.134931, 1714494387.152830, 17899
303, 1714494387.163737, 1714494387.182580, 18843
304, 1714494387.193763, 1714494387.211537, 17774
305, 1714494387.222738, 1714494387.239647, 16909
306, 1714494387.252458, 1714494387.269336, 16878
307, 1714494387.281363, 1714494387.300887, 19524
308, 1714494387.311985, 1714494387.330879, 18894
309, 1714494387.343132, 1714494387.361547, 18415
310, 1714494387.372781, 1714494387.390997, 18216
311, 1714494387.403683, 1714494387.424412, 20729
312, 1714494387.434851, 1714494387.455293, 20442
313, 1714494387.467493, 1714494387.490538, 23045
314, 1714494387.501543, 1714494387.522222, 20679
315, 1714494387.533407, 1714494387.553386, 19979
316, 1714494387.563784, 1714494387.580862, 17078
317, 1714494387.593127, 1714494387.611687, 18560
318, 1714494387.622963, 1714494387.641580, 18617
319, 1714494387.652494, 1714494387.671384, 18890
320, 1714494387.682226, 1714494387.697846, 15620
321, 1714494387.709123, 1714494387.730510, 21387
322, 1714494387.742076, 1714494387.760011, 17935
323, 1714494387.770896, 1714494387.789214, 18318
324, 1714494387.800387, 1714494387.820516, 20129
325, 1714494387.832575, 1714494387.851410, 18835
326, 1714494387.862205, 1714494387.878256, 16051
327, 1714494387.890279, 1714494387.908324, 18045
328, 1714494387.919368, 1714494387.938728, 19360
329, 1714494387.949681, 1714494387.968276, 18595
330, 1714494387.979317, 1714494387.997830, 18513
331, 1714494388.9571, 1714494388.27659, 18088
332, 1714494388.38730, 1714494388.59605, 20875
