index, start time, end time, latency (microsecond)
397, 1714495473.618070, 1714495473.634247, 16177
398, 1714495473.645560, 1714495473.663591, 18031
399, 1714495473.674467, 1714495473.690548, 16081
400, 1714495473.700956, 1714495473.717764, 16808
401, 1714495473.730171, 1714495473.746656, 16485
402, 1714495473.757826, 1714495473.773709, 15883
403, 1714495473.784652, 1714495473.801402, 16750
404, 1714495473.814025, 1714495473.831226, 17201
405, 1714495473.844243, 1714495473.858836, 14593
406, 1714495473.869772, 1714495473.886673, 16901
407, 1714495473.898811, 1714495473.915549, 16738
408, 1714495473.927761, 1714495473.943277, 15516
409, 1714495473.954667, 1714495473.974873, 20206
410, 1714495473.985404, 1714495473.998277, 12873
411, 1714495474.10344, 1714495474.27572, 17228
412, 1714495474.38558, 1714495474.53605, 15047
413, 1714495474.64671, 1714495474.79969, 15298
414, 1714495474.91290, 1714495474.106530, 15240
415, 1714495474.117291, 1714495474.131248, 13957
416, 1714495474.143455, 1714495474.157780, 14325
417, 1714495474.168973, 1714495474.184563, 15590
418, 1714495474.195166, 1714495474.211352, 16186
419, 1714495474.222517, 1714495474.238011, 15494
420, 1714495474.250316, 1714495474.266345, 16029
421, 1714495474.277306, 1714495474.292211, 14905
422, 1714495474.303059, 1714495474.316898, 13839
423, 1714495474.329572, 1714495474.345448, 15876
424, 1714495474.356365, 1714495474.370933, 14568
425, 1714495474.382120, 1714495474.398318, 16198
426, 1714495474.409411, 1714495474.423766, 14355
427, 1714495474.435104, 1714495474.452202, 17098
428, 1714495474.464168, 1714495474.480054, 15886
429, 1714495474.491131, 1714495474.508340, 17209
430, 1714495474.518876, 1714495474.533393, 14517
431, 1714495474.543803, 1714495474.558061, 14258
432, 1714495474.570759, 1714495474.586878, 16119
433, 1714495474.598967, 1714495474.618619, 19652
434, 1714495474.629643, 1714495474.643780, 14137
435, 1714495474.655964, 1714495474.670982, 15018
436, 1714495474.681940, 1714495474.697433, 15493
437, 1714495474.708788, 1714495474.724804, 16016
438, 1714495474.735742, 1714495474.751928, 16186
439, 1714495474.764033, 1714495474.780794, 16761
440, 1714495474.792668, 1714495474.811283, 18615
441, 1714495474.822996, 1714495474.843176, 20180
442, 1714495474.854220, 1714495474.872185, 17965
443, 1714495474.884275, 1714495474.902203, 17928
444, 1714495474.912971, 1714495474.930933, 17962
445, 1714495474.943042, 1714495474.957153, 14111
446, 1714495474.967746, 1714495474.981787, 14041
447, 1714495474.992293, 1714495475.5936, 13643
448, 1714495475.16861, 1714495475.31664, 14803
449, 1714495475.42739, 1714495475.59942, 17203
450, 1714495475.72125, 1714495475.89474, 17349
451, 1714495475.99803, 1714495475.114619, 14816
452, 1714495475.126889, 1714495475.142144, 15255
453, 1714495475.153071, 1714495475.170033, 16962
454, 1714495475.182327, 1714495475.199533, 17206
455, 1714495475.210686, 1714495475.224829, 14143
456, 1714495475.237135, 1714495475.254605, 17470
457, 1714495475.266887, 1714495475.283127, 16240
458, 1714495475.293472, 1714495475.313489, 20017
459, 1714495475.324690, 1714495475.343108, 18418
460, 1714495475.355188, 1714495475.372117, 16929
461, 1714495475.383719, 1714495475.403626, 19907
462, 1714495475.415590, 1714495475.430597, 15007
463, 1714495475.441835, 1714495475.456241, 14406
464, 1714495475.467963, 1714495475.484040, 16077
465, 1714495475.495358, 1714495475.508853, 13495
466, 1714495475.519199, 1714495475.533143, 13944
467, 1714495475.545682, 1714495475.562342, 16660
468, 1714495475.573424, 1714495475.591016, 17592
469, 1714495475.603292, 1714495475.618639, 15347
470, 1714495475.629649, 1714495475.646039, 16390
471, 1714495475.657864, 1714495475.673189, 15325
472, 1714495475.684243, 1714495475.702326, 18083
473, 1714495475.712920, 1714495475.729251, 16331
474, 1714495475.741482, 1714495475.773190, 31708
475, 1714495475.785039, 1714495475.825654, 40615
476, 1714495475.837554, 1714495475.909871, 72317
477, 1714495475.920882, 1714495475.955327, 34445
478, 1714495475.966289, 1714495475.997602, 31313
479, 1714495476.10116, 1714495476.39371, 29255
480, 1714495476.50442, 1714495476.78082, 27640
481, 1714495476.89123, 1714495476.119307, 30184
482, 1714495476.131319, 1714495476.160306, 28987
483, 1714495476.171352, 1714495476.202761, 31409
484, 1714495476.214513, 1714495476.244424, 29911
485, 1714495476.255406, 1714495476.287942, 32536
486, 1714495476.299707, 1714495476.329641, 29934
487, 1714495476.340700, 1714495476.371386, 30686
488, 1714495476.381664, 1714495476.408700, 27036
489, 1714495476.421145, 1714495476.453946, 32801
490, 1714495476.465410, 1714495476.496128, 30718
491, 1714495476.507265, 1714495476.539977, 32712
492, 1714495476.552001, 1714495476.584821, 32820
493, 1714495476.596995, 1714495476.629112, 32117
494, 1714495476.641063, 1714495476.671353, 30290
495, 1714495476.682408, 1714495476.701389, 18981
496, 1714495476.712258, 1714495476.723327, 11069
497, 1714495476.734432, 1714495476.750282, 15850
498, 1714495476.761385, 1714495476.774565, 13180
499, 1714495476.785996, 1714495476.801128, 15132
500, 1714495476.813406, 1714495476.830311, 16905
501, 1714495476.841056, 1714495476.858153, 17097
502, 1714495476.868946, 1714495476.882158, 13212
503, 1714495476.893249, 1714495476.907747, 14498
504, 1714495476.918631, 1714495476.934593, 15962
505, 1714495476.945434, 1714495476.964877, 19443
506, 1714495476.975390, 1714495476.991276, 15886
507, 1714495477.2959, 1714495477.21574, 18615
508, 1714495477.32279, 1714495477.48348, 16069
509, 1714495477.59517, 1714495477.74790, 15273
510, 1714495477.86314, 1714495477.103753, 17439
511, 1714495477.115226, 1714495477.130166, 14940
512, 1714495477.142459, 1714495477.158245, 15786
513, 1714495477.169445, 1714495477.184440, 14995
514, 1714495477.196594, 1714495477.212720, 16126
515, 1714495477.223833, 1714495477.240233, 16400
516, 1714495477.252277, 1714495477.270794, 18517
517, 1714495477.283042, 1714495477.300525, 17483
518, 1714495477.311031, 1714495477.325703, 14672
