iat,len,diffLen,class
0,52,65535,3
65720000,1492,66975,3
14000,72,64115,3
111000,52,65515,3
7059000,341,65824,3
66000,52,65246,3
2892000,1129,66612,3
67000,52,64458,3
3329000,1209,66692,3
66000,52,64378,3
1449000,1492,66975,3
4000,72,64115,3
66000,52,65515,3
105000,69,65552,3
38000,52,65518,3
64843000,1353,66836,3
116000,52,64234,3
79000,873,66356,3
37000,52,64714,3
7091000,921,66404,3
74000,52,64666,3
3035000,937,66420,3
65000,52,64650,3
1515000,889,66372,3
70000,52,64698,3
2246000,1385,66868,3
68000,52,64202,3
291000,937,66420,3
42000,52,64650,3
65189000,1369,66852,3
112000,52,64218,3
839000,985,66468,3
45000,52,64602,3
6120000,921,66404,3
72000,52,64666,3
3313000,937,66420,3
70000,52,64650,3
1954000,1492,66975,3
4000,72,64115,3
1000,53,65516,3
98000,52,65534,3
1000,52,65535,3
65533000,921,66404,3
99000,52,64666,3
1771000,1492,66975,3
15000,72,64115,3
1000,757,66220,3
97000,52,64830,3
0,52,65535,3
5816000,937,66420,3
114000,52,64650,3
2180000,1492,66975,3
4000,72,64115,3
68000,52,65515,3
909000,357,65840,3
63000,52,65230,3
2288000,1492,66975,3
4000,72,64115,3
73000,52,65515,3
61739000,133,65616,3
74000,52,65454,3
4628000,1492,66975,3
4000,72,64115,3
67000,52,65515,3
1273000,1492,66975,3
4000,72,64115,3
70000,52,65515,3
2072000,193,65676,3
69000,52,65394,3
4273000,937,66420,3
4000,937,65535,3
76000,52,64650,3
1000,52,65535,3
2349000,1492,66975,3
6000,72,64115,3
75000,52,65515,3
60318000,549,66032,3
99000,52,65038,3
7299000,1353,66836,3
71000,52,64234,3
1116000,1353,66836,3
78000,52,64234,3
257000,1193,66676,3
52000,52,64394,3
5739000,1353,66836,3
98000,52,64234,3
496000,1225,66708,3
39000,52,64362,3
1804000,937,66420,3
66000,52,64650,3
59670000,1492,66975,3
5000,72,64115,3
97000,52,65515,3
5021000,341,65824,3
97000,52,65246,3
2230000,937,66420,3
64000,52,64650,3
1694000,1492,66975,3
4000,72,64115,3
70000,52,65515,3
3871000,69,65552,3
75000,52,65518,3
3188000,937,66420,3
77000,52,64650,3
57602000,1492,66975,3
9000,72,64115,3
166000,52,65515,3
1870000,1285,66768,3
71000,52,64302,3
2441000,953,66436,3
66000,52,64634,3
3838000,1209,66692,3
70000,52,64378,3
936000,873,66356,3
68000,52,64714,3
3857000,1369,66852,3
77000,52,64218,3
3674000,1492,66975,3
4000,72,64115,3
66000,52,65515,3
55993000,53,65536,3
75000,52,65534,3
4266000,1492,66975,3
4000,72,64115,3
1000,325,65788,3
75000,52,65262,3
1000,52,65535,3
4410000,1209,66692,3
71000,52,64378,3
1856000,1492,66975,3
4000,72,64115,3
68000,52,65515,3
3632000,1189,66672,3
67000,52,64398,3
4899000,1492,66975,3
33000,72,64115,3
64000,52,65515,3
53519000,725,66208,3
112000,52,64862,3
5039000,1492,66975,3
4000,72,64115,3
29000,757,66220,3
74000,52,64830,3
0,52,65535,3
5245000,1492,66975,3
8000,72,64115,3
134000,52,65515,3
1421000,1109,66592,3
71000,52,64478,3
2205000,937,66420,3
65000,52,64650,3
5823000,1369,66852,3
112000,52,64218,3
53106000,1273,66756,3
99000,52,64314,3
3725000,937,66420,3
69000,52,64650,3
1426000,1161,66644,3
67000,52,64426,3
2070555000,569,66052,3
223001000,601,65567,3
133000,52,64986,3
9456410000,1321,66804,3
102000,52,64266,3
2390891000,857,66340,3
85000,52,64730,3
22657590000,521,66004,3
118000,52,65066,3
62155000,905,66388,3
97000,52,64682,3
30166352000,1417,66900,3
94873000,1193,65311,3
129000,52,64394,3
6656076000,1321,66804,3
106000,52,64266,3
1311290000,857,66340,3
124000,52,64730,3
23902941000,521,66004,3
163000,905,65919,3
19000,52,64682,3
77000,52,65535,3
18036560000,1321,66804,3
145000,52,64266,3
2461087000,857,66340,3
99000,52,64730,3
13293833000,521,66004,3
4000,905,65919,3
75000,52,64682,3
1000,52,65535,3
28596945000,52,65535,3
513944000,52,65535,3
826830000,52,65535,3
